序号,UT,题名,判定,理由/标签,判定阶段
689,WOS:000861373200057,Weather and Seasonal Effects on Medium Voltage Underground Cable Joint Failures,X,中压电缆接头失效,题目+关键词
690,WOS:000552155500002,"A sustainable exergy model for energy-water nexus in the hot regions: integrated combined heat, power and water desalination systems",X,过程级(CCHP+淡化㶲模型),题目+关键词
691,WOS:000364328300056,Understanding Attitudes and Pro-Environmental Behaviors in a Chilean Community,X,社区环境行为(智利),题目+关键词
692,WOS:001312913700001,Securing industrial control systems: Developing a SCADA/IoT test bench and evaluating lightweight cipher performance on hardware simulator,X,SCADA/IoT安全测试,题目+关键词
693,WOS:001202054900001,Simulation and Techno-Economic Analysis of the Integration of a Combined Heat and Power System in a Flare Gas Recovery Unit - Case Study: Tabriz Oil Refining Company (Northwest Iran),X,火炬气CHP(炼厂),题目+关键词
694,WOS:000348256000013,Performance analysis of a low pressure discharge thermal energy combined desalination unit,X,过程级(低压放电热淡化),题目+关键词
695,WOS:000300037300025,Prospect of using alternative energy for power and desalted water productions in Kuwait,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
696,WOS:000794147000065,The winery in a perspective of sustainability: the parameters to be measured and their reliability,X,酒庄可持续指标,题目+关键词
697,WOS:001225699200001,"Spatial distributions of soil nutrients affected by land use, topography and their interactions, in the Loess Plateau of China",X,黄土高原土壤养分,题目+关键词
698,WOS:001547941200001,"Multifunctional treatment of food waste liquefied liquid by algal-bacterial microbial fuel cells: water, electricity and biomass nexus and mechanism profiling",X,藻菌MFC食物废液(过程),题目+关键词
699,WOS:000599050100003,"Liquid Air Energy Storage for Decentralized Micro Energy Networks with Combined Cooling, Heating, Hot Water and Power Supply",X,液空储能微能网(热/冷/生活热水),题目+关键词
700,WOS:001839192800001,Tracing the evolution of soil conservation in China: A review of historical insights and modern practices,X,中国水土保持综述,题目+关键词
701,WOS:000888322800001,Runoff- and erosion-reducing effects of vegetation on the loess hillslopes of China under concentrated flow,X,黄土坡面植被径流,题目+关键词
702,WOS:000384850100055,PERFORMANCE SIMULATION OF 3-STAGE GAS TURBINE CHP PLANT FOR MARINE APPLICATIONS,X,船用CHP燃机,题目+关键词
703,WOS:000407655300108,Thermodynamic and exergy analysis of a hydrogen and permeate water production process by a solar-driven transcritical CO2 power cycle with liquefied natural gas heat sink,X,过程级(太阳能CO2循环氢+水),题目+关键词
704,WOS:000625875704049,When are decentralized infrastructure networks preferable to centralized ones?,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
705,WOS:000848265000032,Cybersafety: A System-Theoretic Approach to Identify Cyber-Vulnerabilities & Mitigation Requirements in Industrial Control Systems,X,工控系统STAMP安全,题目+关键词
706,WOS:000656379700001,Offshore Conceptual Plastic Waste Collection and Treatment Towards Clean Ocean,X,海洋塑料垃圾收集,题目+关键词
707,WOS:000468255300002,Integrating information from heterogeneous networks on social media to predict post-disaster returning behavior,X,社媒灾后返回行为,题目+关键词
708,WOS:000845215900001,Simulation-Optimization of Tarbela Reservoir Operation to Enhance Multiple Benefits and to Achieve Sustainable Development Goals,X,水库调度(水资源),题目+关键词
709,WOS:000516714200061,Investigation of FCVs durability under driving cycles using a model-based approach,X,燃料电池车耐久,题目+关键词
710,WOS:000707321400001,Development and Numerical Performance Analysis of a Micro Turbine in a Tap-Water Pipeline,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
711,WOS:000468509800034,MSF-RO Hybrid System for Seawater Desalination in Kuwait,X,过程级(MSF-RO混合),题目+关键词
712,WOS:000251881000003,"Performance evaluation of the ""large SMADES"" autonomous desalination solar-driven membrane distillation plant in Aqaba, Jordan",X,过程级(太阳能膜蒸馏装置性能),题目+关键词
713,WOS:001068883000001,Prospective study of a novel heat pump system with solar energy spectral beam splitting,X,太阳能热泵分光,题目+关键词
714,WOS:000851039600028,Household Emergency Preparedness Instrument Development: A Delphi Study,X,家庭应急准备量表,题目+关键词
715,WOS:000363051600013,Hardware Implementation and Testing of Reconfigurable RTU for Wireless SCADA,X,RTU/SCADA硬件,题目+关键词
716,WOS:000505687800086,Zero Emission Super-Yacht,X,零排放游艇,题目+关键词
717,WOS:001261827200001,"Integration of proton exchange membrane fuel cell with air gap membrane distillation for sustainable electricity and freshwater cogeneration: Performance, influential mechanism, multi-objective optimization and future perspective",X,过程级(PEMFC+AGMD电-水联产),题目+关键词
718,WOS:000437126100001,Simultaneously recovering electricity and water from wastewater by osmotic microbial fuel cells: Performance and membrane fouling,X,渗透MFC废水电-水回收,题目+关键词
719,WOS:000449954600014,"Impact on groundwater of a karstic aquifer in the informal settlement ""Las Fincas"" on Cozumel Island, Mexico",X,喀斯特地下水污染,题目+关键词
720,WOS:001520626700005,Architecturally-engineered scalable nonwoven evaporator with square groove morphology for solar desalination and thermoelectricity generation,X,材料级(无纺蒸发器淡化+热电),题目+关键词
721,WOS:000169530500036,Dual roles of infrared imaging on a university campus: Serving the physical plant while enhancing a technology-based curriculum,X,校园红外成像,题目+关键词
722,WOS:000316923600012,A framework for the system-of-systems analysis of the risk for a safety-critical plant exposed to external events,X,安全关键工厂SoS风险,题目+关键词
723,WOS:000489768900006,Drought and conflicts at the local level: Establishing a water sharing mechanism for the summer-autumn rice production in Central Vietnam,X,越南水稻分水治理,题目+关键词
724,WOS:001741170600013,"Willingness of Older Adults to Pay for the Cooling Services Provided by Urban Blue-Green Spaces in the City of Chengdu, China",X,成都蓝绿空间支付意愿,题目+关键词
725,WOS:000475568000007,Shape design of arch dams under load uncertainties with robust optimization,X,拱坝形体鲁棒优化,题目+关键词
726,WOS:001042331600001,A novel hybrid ensemble learning for anomaly detection in industrial sensor networks and SCADA systems for smart city infrastructures,X,SCADA异常检测集成学习,题目+关键词
727,WOS:001587793000001,Integrated organochemical - Microbial solutions remediate degraded saline-sodic soils,X,盐碱地改良,题目+关键词
728,WOS:001727541300001,Failure of critical infrastructures in German hospitals. Online survey on crisis management structures and exercises in hospitals,X,医院基础设施危机管理调查,题目+关键词
729,WOS:000451730800011,Simulation based assessment of resilience of two large-scale socio-technical IT networks,X,IT网络社会技术韧性,题目+关键词
730,WOS:000255706100008,Environmental performance evaluation (EPE) of Iran Khodro Co. (IKCO),X,企业环境绩效,题目+关键词
731,WOS:000177829200002,Solubility of hydrogen in Zircaloy-4:: irradiation induced increase and thermal recovery,X,锆合金氢溶解度,题目+关键词
732,WOS:A1994NG55200020,"THE MERCURY TROMOL MILL - AN INNOVATIVE GOLD RECOVERY TECHNIQUE, AND A POSSIBLE ENVIRONMENTAL CONCERN",X,混汞碾金矿,题目+关键词
733,WOS:000455139800030,Analysis and Design of Wide Range Output Voltage Regulated Power Supply for Underwater Constant Input Current DC Distribution System,X,水下直流供电电源,题目+关键词
734,WOS:001317926000001,Developing resilience pathways for interdependent infrastructure networks: A simulation-based approach with consideration to risk preferences of decision-makers,A,互依网络韧性路径+风险偏好(Shelby电-水-气),摘要
735,WOS:000803893500001,Performance optimization of the hybrid HDH-RO desalination system powered by photovoltaic-thermal modules using solar dish concentrators,X,过程级(HDH-RO+PVT太阳碟),题目+关键词
736,WOS:000538128400024,Structural Functionality Scale for Light-Framed Wood Buildings with Indicators for Windstorm Damage,X,木结构建筑风灾功能,题目+关键词
737,WOS:001251346800001,Application of clustering algorithms for dimensionality reduction in infrastructure resilience prediction models,A,互依电-水-交通testbed韧性ML降维,摘要
738,WOS:000337960300144,Development of an Integrated Condition Monitoring and Diagnostic System for Process Control Valves Used in Nuclear Power Plant,X,核电厂阀门监测,题目+关键词
739,WOS:001596349600001,Diversity and uniformity: An entropy-based diagnosis of sectoral roles in China's embodied carbon flow network,X,隐含碳流网络,题目+关键词
740,WOS:001508703800001,Integrating LNG Cold Energy Recovery for Sustainable Water and Power Production: A Dual-Purpose Approach,X,过程级(LNG冷能水-电联产),题目+关键词
741,WOS:001530124700001,Learning Networks From Wide-Sense Stationary Stochastic Processes,X,随机过程网络学习,题目+关键词
742,WOS:000716995000007,Modeling cascading failure of interdependent critical infrastructure systems using HLA-based co-simulation,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
743,WOS:000726469000001,"PEMFC Poly-Generation Systems: Developments, Merits, and Challenges",X,PEMFC多联产综述,题目+关键词
744,WOS:000614576700013,Role of forests in headwater control with changing environment and society,X,水源林功能,题目+关键词
745,WOS:000631898400050,A New Cryptojacking Malware Classifier Model Based on Dendritic Cell Algorithm,X,恶意软件分类,题目+关键词
746,WOS:000471321100010,"Basic Seismic Response Capability of Hospitals in Lima, Peru",X,利马医院抗震,题目+关键词
747,WOS:001459446800001,Non-consistent changes and drivers of water-sediment fluxes in the yarlung tsangpo river basin of the Tibetan plateau,X,雅鲁藏布江水沙,题目+关键词
